"filename", "language", "YAML", "Dart", "Swift", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\themeScreen.dart", "Dart", 0, -57, 0, 0, 0, 0, 4, -53
"c:\Users\User\Desktop\receive\linkspeak\lib\theme_preference.dart", "Dart", 0, 24, 0, 0, 0, 1, 3, 28
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\linkedUsers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\linkrequest.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\newComments.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\newLikes.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\newLinkedWith.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\newMentions.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\alerts\newReplies.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\languagePicker.dart", "Dart", 0, 95, 0, 0, 0, 0, 7, 102
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\linkModeDialog.dart", "Dart", 0, 1, 0, 0, 0, 0, -1, 0
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\loginAuth.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, -2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\loginThemeChanger.dart", "Dart", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\registrationAuth.dart", "Dart", 0, 1, 0, 0, 0, 0, -1, 0
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\registrationDialog.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\reportDialog.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\chatFlareWidget.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\chatMenu.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\chatMessages.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\miniClubPost.dart", "Dart", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\miniDescription.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, -2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\miniPost.dart", "Dart", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\sendButton.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 38
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\additionalAddressButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\load.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\myLinkify.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\peopleClubsBar.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\popUpMenuButton.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\sortationWidget.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\title.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, -9
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\addComment.dart", "Dart", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\addReply.dart", "Dart", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\comment.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\commentPreview.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\commentsView.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\fullPost.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\likesView.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\replyTile.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\sensitiveComment.dart", "Dart", 0, -18, 0, 0, 0, 0, 0, -18
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\shareView.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\topicsView..dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\bottomNavBar.dart", "Dart", 0, -33, 0, 0, 0, 0, 0, -33
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\notificationButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\pauseButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\playButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\reverseButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\searchButton.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\startButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\stopButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\ads.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\historyFutureBuilder.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\historyTileItem.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\searchTabBar.dart", "Dart", 0, -28, 0, 0, 0, 0, 0, -28
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\suggestedWidget.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\titleButton.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\userResult.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, -14
