"filename", "language", "C++", "YAML", "Markdown", "JSON", "Dart", "CSS", "Swift", "XML", "HTML", "JavaScript", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubAlertsScreen.dart", "Dart", 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 245
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubAvatar.dart", "Dart", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 120
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubBannedScreen.dart", "Dart", 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 287
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubBanner.dart", "Dart", 0, 0, 0, 0, 487, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 503
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubCenterScreen.dart", "Dart", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 285
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubJoinButton.dart", "Dart", 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 328
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubJoinRequest.dart", "Dart", 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 230
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubMemberScreen.dart", "Dart", 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 345
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubPostsTab.dart", "Dart", 0, 0, 0, 0, 483, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 499
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubQRcode.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubRequestsScreen.dart", "Dart", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 201
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubScreen.dart", "Dart", 0, 0, 0, 0, 699, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 722
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubSensitiveBanner.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTabBar.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTabs.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTopicsTab.dart", "Dart", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 149
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\createClubScreen.dart", "Dart", 0, 0, 0, 0, 834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 854
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\manageClubScreen.dart", "Dart", 0, 0, 0, 0, 1167, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37, 1210
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\newClubPost.dart", "Dart", 0, 0, 0, 0, 3167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 3263
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\privateClub.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\publishClubPost.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\User\Desktop\receive\linkspeak\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 71
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addFlareComment.dart", "Dart", 0, 0, 0, 0, 904, 0, 0, 0, 0, 0, 0, 0, 0, 39, 24, 967
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addFlareReply.dart", "Dart", 0, 0, 0, 0, 921, 0, 0, 0, 0, 0, 0, 0, 0, 34, 25, 980
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addedFlare.dart", "Dart", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\collectionFlareScreen.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\collectionFlareTab.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\collectionFlareWidget.dart", "Dart", 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 31, 12, 315
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\customizeFlareScreen.dart", "Dart", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 177
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareAlertsScreen.dart", "Dart", 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 254
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareBanner.dart", "Dart", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareBaseline.dart", "Dart", 0, 0, 0, 0, 645, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 670
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareComment.dart", "Dart", 0, 0, 0, 0, 575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 586
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentAlerts.dart", "Dart", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 186
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentLikesScreen.dart", "Dart", 0, 0, 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 345
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentRepliesScreen.dart", "Dart", 0, 0, 0, 0, 817, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 842
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareComments.dart", "Dart", 0, 0, 0, 0, 889, 0, 0, 0, 0, 0, 0, 0, 0, 27, 21, 937
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareHistory.dart", "Dart", 0, 0, 0, 0, 776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 794
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareHistoryScreen.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareLikeAlerts.dart", "Dart", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 184
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareLikes.dart", "Dart", 0, 0, 0, 0, 561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 578
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareMegaLike.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 60
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareProfileBanner.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareProfileScreen.dart", "Dart", 0, 0, 0, 0, 928, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 960
